date,storage_twh,agsi_consumption_gwh,injection_gwh,withdrawal_gwh,storage_pct_full
2019-01-01,189.1272,893.0,419.04,234.2,75.23
2019-01-02,188.5782,893.0,101.54,635.2,75.01
2019-01-03,187.2198,893.0,36.55,1373.0,74.47
2019-01-04,186.2821,893.0,51.08,968.3,74.1
2019-01-05,185.9276,893.0,76.47,418.2,73.96
2019-01-06,185.6007,893.0,70.99,410.1,73.83
2019-01-07,185.0055,893.0,145.85,699.1,73.59
2019-01-08,184.6933,893.0,67.96,364.6,73.47
2019-01-09,183.6367,893.0,27.04,1063.5,73.05
2019-01-10,182.2694,893.0,36.52,1376.6,72.5
2019-01-11,181.2469,893.0,45.78,1056.9,72.09
2019-01-12,180.7807,893.0,51.6,540.1,71.91
2019-01-13,180.6573,893.0,156.11,274.7,71.86
2019-01-14,180.0753,893.0,60.77,621.8,71.56
2019-01-15,179.2183,893.0,99.71,909.4,71.22
2019-01-16,178.3433,893.0,60.43,923.3,70.87
2019-01-17,177.4485,893.0,27.43,903.7,70.52
2019-01-18,175.9434,893.0,27.0,1510.7,69.92
2019-01-19,174.6055,893.0,37.52,1355.5,69.39
2019-01-20,173.0321,893.0,25.55,1574.6,68.76
2019-01-21,170.7376,893.0,30.6,2292.8,67.84
2019-01-22,168.5306,893.0,64.28,2246.7,66.97
2019-01-23,166.3542,893.0,53.01,2203.5,66.1
2019-01-24,164.2454,893.0,35.37,2113.5,65.27
2019-01-25,162.3161,893.0,85.57,1984.9,64.5
2019-01-26,161.4645,893.0,72.16,906.2,64.16
2019-01-27,160.9188,893.0,57.41,597.0,63.94
2019-01-28,159.7441,893.0,53.05,1211.7,63.48
2019-01-29,158.2603,893.0,35.05,1501.9,62.89
2019-01-30,156.7612,893.0,27.66,1544.9,62.29
2019-01-31,155.2054,893.0,20.31,1502.1,61.67
2019-02-01,153.916,893.0,22.18,1275.4,61.16
2019-02-02,153.1332,893.0,146.13,853.3,60.85
2019-02-03,152.293,893.0,53.01,878.3,60.52
2019-02-04,151.0736,893.0,29.38,1228.4,60.03
2019-02-05,149.7968,893.0,39.12,1314.8,59.52
2019-02-06,149.0059,893.0,56.21,792.7,59.21
2019-02-07,148.5505,893.0,66.18,501.3,59.03
2019-02-08,148.1713,893.0,53.8,414.2,58.88
2019-02-09,147.9421,893.0,58.19,292.8,58.79
2019-02-10,147.791,893.0,72.95,226.9,58.73
2019-02-11,147.0393,893.0,4.66,730.9,58.43
2019-02-12,146.1656,893.0,28.47,842.9,58.08
2019-02-13,145.436,893.0,19.01,697.6,57.79
2019-02-14,144.8705,893.0,29.18,549.1,57.57
2019-02-15,144.6073,893.0,99.85,337.2,57.46
2019-02-16,144.6099,893.0,150.89,116.7,57.46
2019-02-17,144.7171,893.0,214.43,97.5,57.51
2019-02-18,144.5867,893.0,114.28,218.9,57.45
2019-02-19,144.2576,893.0,64.22,368.2,57.31
2019-02-20,143.9317,893.0,38.8,310.5,57.19
2019-02-21,135.9103,893.0,87.07,305.0,54.0
2019-02-22,135.5749,893.0,47.73,371.9,53.87
2019-02-23,135.4733,893.0,196.93,279.7,53.82
2019-02-24,135.3508,893.0,203.44,310.4,53.78
2019-02-25,135.0432,893.0,135.97,396.4,53.66
2019-02-26,135.2672,893.0,161.96,113.9,53.75
2019-02-27,135.2269,893.0,117.3,147.4,53.73
2019-02-28,135.2518,893.0,194.53,158.5,53.74
2019-03-01,134.8622,893.0,140.95,327.3,53.59
2019-03-02,134.9877,893.0,280.48,154.0,53.64
2019-03-03,135.2125,893.0,343.19,118.3,53.73
2019-03-04,135.249,893.0,309.67,238.7,53.74
2019-03-05,135.0963,893.0,235.55,373.3,53.67
2019-03-06,134.943,893.0,213.86,243.8,53.61
2019-03-07,135.1445,893.0,304.78,205.7,53.69
2019-03-08,135.2212,893.0,283.61,204.4,53.72
2019-03-09,135.3959,893.0,303.57,165.0,53.79
2019-03-10,135.5084,893.0,322.48,211.0,53.84
2019-03-11,135.2914,893.0,177.32,386.3,53.73
2019-03-12,135.0129,893.0,213.27,486.0,53.62
2019-03-13,134.9192,893.0,289.57,372.8,53.58
2019-03-14,134.8268,893.0,234.85,319.3,53.55
2019-03-15,134.8906,893.0,282.88,210.6,53.57
2019-03-16,135.1831,893.0,447.95,150.1,53.69
2019-03-17,135.5089,893.0,483.03,158.0,53.82
2019-03-18,135.3091,893.0,233.58,423.8,53.75
2019-03-19,135.0118,893.0,205.93,511.8,53.64
2019-03-20,134.794,893.0,228.5,440.5,53.55
2019-03-21,134.7937,893.0,290.42,284.3,53.55
2019-03-22,135.0016,893.0,390.54,177.4,53.63
2019-03-23,135.6468,893.0,755.99,109.9,53.89
2019-03-24,136.2968,893.0,775.61,122.7,54.15
2019-03-25,136.3571,893.0,378.78,318.0,54.17
2019-03-26,136.1018,893.0,255.25,495.3,54.07
2019-03-27,136.0185,893.0,282.79,360.1,54.04
2019-03-28,135.9789,893.0,254.58,284.8,54.02
2019-03-29,136.0801,893.0,353.12,247.4,54.06
2019-03-30,136.7301,893.0,762.61,109.8,54.32
2019-03-31,136.0235,893.0,648.4,103.4,54.05
2019-04-01,138.0901,893.0,561.21,166.1,55.9
2019-04-02,139.4234,893.0,625.45,10.4,56.12
2019-04-03,139.9571,893.0,516.11,93.2,56.33
2019-04-04,138.8984,893.0,360.0,392.3,55.91
2019-04-05,138.8153,893.0,341.53,434.9,55.87
2019-04-06,139.2524,893.0,473.93,44.8,56.05
2019-04-07,139.8854,893.0,627.3,3.7,56.3
2019-04-08,140.2931,893.0,428.94,28.1,56.49
2019-04-09,140.4411,893.0,247.05,101.0,56.54
2019-04-10,140.4363,893.0,254.72,270.0,56.54
2019-04-11,140.2519,893.0,218.21,411.6,56.48
2019-04-12,140.1122,893.0,230.34,376.8,56.42
2019-04-13,140.0717,893.0,228.56,276.6,56.41
2019-04-14,140.1776,893.0,277.45,178.9,56.45
2019-04-15,140.3398,893.0,304.17,148.8,56.49
2019-04-16,140.8913,893.0,570.48,33.8,56.72
2019-04-17,141.5629,893.0,746.6,84.4,56.99
2019-04-18,142.4238,893.0,893.65,47.2,57.33
2019-04-19,143.7115,893.0,1277.57,5.8,57.85
2019-04-20,145.0249,893.0,1306.97,10.9,58.38
2019-04-21,146.4013,893.0,1366.64,6.4,58.93
2019-04-22,147.8943,893.0,1476.82,1.7,59.53
2019-04-23,149.0228,893.0,1127.03,13.7,59.98
2019-04-24,150.1775,893.0,1156.82,15.4,60.45
2019-04-25,151.0895,893.0,949.56,7.3,60.81
2019-04-26,151.9339,893.0,840.22,6.9,61.15
2019-04-27,152.8775,893.0,937.18,3.2,61.53
2019-04-28,153.5729,893.0,728.9,38.5,61.81
2019-04-29,153.9405,893.0,439.61,73.0,61.95
2019-04-30,154.4452,893.0,521.26,26.0,62.15
2019-05-01,155.3836,893.0,926.05,5.9,62.47
2019-05-02,155.9017,893.0,552.55,36.4,62.68
2019-05-03,156.4557,893.0,570.0,52.4,62.9
2019-05-04,157.0306,893.0,615.74,6.3,63.13
2019-05-05,157.578,893.0,574.03,13.1,63.35
2019-05-06,157.8362,893.0,406.36,153.5,63.46
2019-05-07,158.2915,893.0,468.53,19.2,63.64
2019-05-08,158.7811,893.0,508.8,24.9,63.84
2019-05-09,159.1605,893.0,486.57,112.7,63.99
2019-05-10,159.6202,893.0,482.59,27.4,64.17
2019-05-11,160.2186,893.0,595.89,3.6,64.41
2019-05-12,160.7639,893.0,566.72,27.6,64.63
2019-05-13,161.147,893.0,419.52,42.4,64.81
2019-05-14,161.6104,893.0,489.98,32.6,65.0
2019-05-15,162.0563,893.0,456.95,16.9,65.18
2019-05-16,162.4323,893.0,411.46,41.0,65.33
2019-05-17,162.9154,893.0,516.1,38.6,65.53
2019-05-18,163.9771,893.0,1062.41,5.6,65.95
2019-05-19,165.0923,893.0,1125.19,14.6,66.4
2019-05-20,165.9074,893.0,828.44,16.4,66.71
2019-05-21,166.6519,893.0,766.94,27.5,67.01
2019-05-22,167.441,893.0,736.38,8.9,67.33
2019-05-23,168.1615,893.0,747.26,33.0,67.62
2019-05-24,169.0513,893.0,888.18,1.0,67.97
2019-05-25,170.1008,893.0,1043.34,3.8,68.4
2019-05-26,171.3651,893.0,1225.99,2.1,68.9
2019-05-27,172.4627,893.0,1110.86,4.9,69.35
2019-05-28,173.2349,893.0,795.12,35.0,69.66
2019-05-29,173.9044,893.0,677.01,13.9,69.93
2019-05-30,175.1764,893.0,1269.98,4.2,70.44
2019-05-31,176.5087,893.0,1333.29,6.7,70.98
2019-06-01,178.1769,893.0,1645.59,11.4,71.64
2019-06-02,179.8754,893.0,1690.83,8.3,72.32
2019-06-03,181.1149,893.0,1287.82,7.8,72.85
2019-06-04,182.3221,893.0,1251.38,20.1,73.33
2019-06-05,183.4379,893.0,1110.73,7.6,73.78
2019-06-06,184.2603,893.0,872.48,33.1,74.11
2019-06-07,185.3424,893.0,1081.73,12.2,74.55
2019-06-08,186.4485,893.0,1098.71,11.6,74.99
2019-06-09,187.5621,893.0,1105.81,7.7,75.44
2019-06-10,188.5912,893.0,1037.18,22.5,75.86
2019-06-11,189.3401,893.0,714.6,17.8,76.17
2019-06-12,190.2086,893.0,869.03,10.8,76.52
2019-06-13,190.9934,893.0,820.94,40.3,76.83
2019-06-14,191.8128,893.0,820.78,11.6,77.16
2019-06-15,192.8202,893.0,1050.07,32.5,77.57
2019-06-16,193.53,893.0,1037.47,12.2,77.85
2019-06-17,194.3693,893.0,843.11,10.6,78.16
2019-06-18,195.1478,893.0,776.59,9.2,78.48
2019-06-19,195.7776,893.0,646.74,28.3,78.73
2019-06-20,196.555,893.0,775.52,4.7,79.04
2019-06-21,197.3037,893.0,736.05,5.5,79.34
2019-06-22,198.3329,893.0,1025.15,11.7,79.76
2019-06-23,199.3833,893.0,1034.46,10.9,80.18
2019-06-24,200.1278,893.0,757.42,26.1,80.47
2019-06-25,200.9275,893.0,802.54,10.7,80.79
2019-06-26,201.7358,893.0,845.97,47.1,81.12
2019-06-27,202.5651,893.0,836.78,21.0,81.45
2019-06-28,203.2855,893.0,690.03,10.2,81.71
2019-06-29,204.3558,893.0,1061.87,6.5,82.14
2019-06-30,205.5299,893.0,1166.19,9.4,82.61
2019-07-01,206.2341,893.0,712.4,16.5,82.9
2019-07-02,206.6966,893.0,487.94,38.0,83.08
2019-07-03,207.3629,893.0,414.19,50.1,83.35
2019-07-04,207.782,893.0,436.18,21.8,83.52
2019-07-05,207.9938,893.0,577.18,22.6,83.61
2019-07-06,209.1574,893.0,798.07,4.7,84.07
2019-07-07,209.9655,893.0,800.83,3.6,84.4
2019-07-08,210.1569,893.0,300.57,125.4,84.48
2019-07-09,210.2208,893.0,236.48,182.9,84.5
2019-07-10,210.551,893.0,383.6,66.2,84.56
2019-07-11,210.9494,893.0,407.88,22.1,84.72
2019-07-12,211.4578,893.0,520.18,22.1,84.92
2019-07-13,212.3573,893.0,891.56,4.3,85.29
2019-07-14,213.3247,893.0,960.37,3.4,85.67
2019-07-15,213.8332,893.0,514.06,15.4,85.86
2019-07-16,213.6583,893.0,230.56,415.4,85.79
2019-07-17,213.4859,893.0,217.69,400.3,85.72
2019-07-18,213.3111,893.0,241.31,427.7,85.63
2019-07-19,213.1553,893.0,242.79,410.3,85.5
2019-07-20,213.3938,893.0,420.32,190.7,85.59
2019-07-21,213.7221,893.0,423.38,107.5,85.72
2019-07-22,213.7287,893.0,235.51,214.9,85.71
2019-07-23,213.8353,893.0,309.76,214.9,85.76
2019-07-24,213.8008,893.0,208.83,254.8,85.74
2019-07-25,213.8298,893.0,248.42,230.9,85.75
2019-07-26,213.8255,893.0,237.53,254.0,85.75
2019-07-27,214.3014,893.0,520.74,53.2,85.93
2019-07-28,214.8341,893.0,541.75,21.1,86.14
2019-07-29,215.1989,893.0,382.1,33.6,86.33
2019-07-30,215.6382,893.0,470.49,41.3,86.43
2019-07-31,216.073,893.0,449.95,18.0,86.6
2019-08-01,216.635,893.0,549.23,3.6,86.75
2019-08-02,217.1662,893.0,528.92,4.0,86.96
2019-08-03,217.7159,893.0,545.1,7.9,87.18
2019-08-04,218.2931,893.0,570.15,4.5,87.41
2019-08-05,218.6848,893.0,388.83,7.2,87.51
2019-08-06,219.2077,893.0,516.59,3.9,87.72
2019-08-07,219.9412,893.0,728.29,3.7,88.01
2019-08-08,220.5188,893.0,562.82,3.9,90.02
2019-08-09,221.2781,893.0,756.37,8.2,90.33
2019-08-10,222.3412,893.0,1074.5,12.4,90.76
2019-08-11,223.4116,893.0,1050.14,4.6,91.2
2019-08-12,224.061,893.0,653.57,3.7,91.48
2019-08-13,224.5471,893.0,485.64,6.3,91.68
2019-08-14,224.9152,893.0,351.01,4.9,91.83
2019-08-15,225.5225,893.0,599.3,3.7,92.08
2019-08-16,226.2,893.0,671.41,3.8,92.36
2019-08-17,227.1596,893.0,960.69,6.0,92.75
2019-08-18,228.1237,893.0,957.52,4.8,93.14
2019-08-19,228.8588,893.0,723.9,5.8,93.49
2019-08-20,229.4335,893.0,572.8,8.1,93.72
2019-08-21,230.0759,893.0,610.51,12.1,93.93
2019-08-22,230.6299,893.0,547.79,3.8,94.13
