date,temperature_2m_mean,temperature_2m_min,temperature_2m_max,hdd
2018-12-31 22:00:00+00:00,6.3854165,4.0,7.45,11.614584
2019-01-01 22:00:00+00:00,2.2312498,-0.75,3.8,15.76875
2019-01-02 22:00:00+00:00,-0.7187502,-2.7,2.1,18.71875
2019-01-03 22:00:00+00:00,1.1604167,-3.1,4.5,16.839582
2019-01-04 22:00:00+00:00,5.7062497,3.5,7.55,12.293751
2019-01-05 22:00:00+00:00,1.3666668,-0.6,2.85,16.633333
2019-01-06 22:00:00+00:00,2.9333334,0.15,5.05,15.066667
2019-01-07 22:00:00+00:00,4.672916,1.95,5.85,13.327084
2019-01-08 22:00:00+00:00,1.74375,1.15,2.85,16.25625
2019-01-09 22:00:00+00:00,0.76458335,-0.75,2.45,17.235416
2019-01-10 22:00:00+00:00,1.7479166,-0.9,5.25,16.252083
2019-01-11 22:00:00+00:00,3.939583,1.65,5.4,14.060417
2019-01-12 22:00:00+00:00,5.93125,4.8,7.45,12.06875
2019-01-13 22:00:00+00:00,2.1875,-0.25,5.4,15.8125
2019-01-14 22:00:00+00:00,3.0812502,0.3,6.25,14.91875
2019-01-15 22:00:00+00:00,6.091667,3.9,6.9,11.908333
2019-01-16 22:00:00+00:00,4.2000003,1.3,6.4,13.799999
2019-01-17 22:00:00+00:00,0.25625,-1.4,2.1,17.74375
2019-01-18 22:00:00+00:00,-0.6437501,-2.35,2.2,18.64375
2019-01-19 22:00:00+00:00,-3.091667,-6.05,1.1,21.091667
2019-01-20 22:00:00+00:00,-3.1666663,-4.05,-1.3,21.166666
2019-01-21 22:00:00+00:00,-3.5895827,-5.05,-0.35,21.589582
2019-01-22 22:00:00+00:00,-5.452082,-7.15,-2.25,23.452082
2019-01-23 22:00:00+00:00,-3.872917,-4.55,-3.15,21.872917
2019-01-24 22:00:00+00:00,-3.7145834,-4.55,-2.6,21.714584
2019-01-25 22:00:00+00:00,-0.1354167,-3.6,2.8,18.135416
2019-01-26 22:00:00+00:00,3.314583,2.4,5.1,14.685417
2019-01-27 22:00:00+00:00,2.63125,1.25,4.8,15.36875
2019-01-28 22:00:00+00:00,-0.085416615,-3.05,2.8,18.085417
2019-01-29 22:00:00+00:00,-0.96249986,-3.75,2.7,18.9625
2019-01-30 22:00:00+00:00,0.31666666,-1.5,3.4,17.683332
2019-01-31 22:00:00+00:00,-0.80625004,-3.6,1.65,18.80625
2019-02-01 22:00:00+00:00,0.42083338,-0.45,1.75,17.579166
2019-02-02 22:00:00+00:00,0.9416668,0.15,2.0,17.058332
2019-02-03 22:00:00+00:00,0.65,-2.0,4.7,17.35
2019-02-04 22:00:00+00:00,2.0979166,-0.5,4.2,15.902083
2019-02-05 22:00:00+00:00,2.414583,-0.15,6.2,15.585417
2019-02-06 22:00:00+00:00,2.3166666,-1.15,6.15,15.683333
2019-02-07 22:00:00+00:00,4.5708327,1.45,8.2,13.429167
2019-02-08 22:00:00+00:00,6.9750004,5.45,9.85,11.025
2019-02-09 22:00:00+00:00,6.6562495,4.15,8.5,11.34375
2019-02-10 22:00:00+00:00,4.49375,1.7,6.55,13.50625
2019-02-11 22:00:00+00:00,2.5270834,-0.1,5.35,15.472917
2019-02-12 22:00:00+00:00,5.808333,2.25,8.0,12.191668
2019-02-13 22:00:00+00:00,5.945833,2.45,9.7,12.054167
2019-02-14 22:00:00+00:00,3.4375002,-2.1,11.25,14.5625
2019-02-15 22:00:00+00:00,5.625,1.05,13.9,12.375
2019-02-16 22:00:00+00:00,4.5312505,-1.3,12.1,13.46875
2019-02-17 22:00:00+00:00,5.025,-0.75,13.0,12.975
2019-02-18 22:00:00+00:00,6.127083,3.15,9.65,11.872917
2019-02-19 22:00:00+00:00,6.333334,4.25,9.65,11.666666
2019-02-20 22:00:00+00:00,7.7624993,6.2,11.0,10.237501
2019-02-21 22:00:00+00:00,3.2104166,-2.6,8.35,14.789583
2019-02-22 22:00:00+00:00,-1.0395833,-4.75,4.05,19.039583
2019-02-23 22:00:00+00:00,1.9833335,-3.4,9.95,16.016666
2019-02-24 22:00:00+00:00,4.5916667,-1.55,12.4,13.408333
2019-02-25 22:00:00+00:00,5.7916665,2.2,11.1,12.208334
2019-02-26 22:00:00+00:00,6.372917,0.55,14.15,11.627083
2019-02-27 22:00:00+00:00,7.579166,4.8,12.35,10.420834
2019-02-28 22:00:00+00:00,4.489583,3.35,5.85,13.510417
2019-03-01 22:00:00+00:00,3.9145834,2.15,5.6,14.085417
2019-03-02 22:00:00+00:00,8.070833,4.2,10.0,9.929167
2019-03-03 22:00:00+00:00,9.53125,5.9,14.2,8.46875
2019-03-04 22:00:00+00:00,6.4250007,4.05,8.65,11.574999
2019-03-05 22:00:00+00:00,6.316666,1.3,11.15,11.683334
2019-03-06 22:00:00+00:00,10.147917,7.55,16.1,7.852083
2019-03-07 22:00:00+00:00,7.4770827,3.9,9.55,10.522917
2019-03-08 22:00:00+00:00,6.877083,4.35,11.45,11.122917
2019-03-09 22:00:00+00:00,4.891667,1.8,7.5,13.108334
2019-03-10 22:00:00+00:00,2.98125,1.1,5.55,15.01875
2019-03-11 22:00:00+00:00,4.766667,1.65,8.25,13.233334
2019-03-12 22:00:00+00:00,6.9166675,3.45,9.9,11.083332
2019-03-13 22:00:00+00:00,5.4874997,3.45,8.3,12.512501
2019-03-14 22:00:00+00:00,7.339583,5.0,9.4,10.660418
2019-03-15 22:00:00+00:00,6.733333,4.85,8.9,11.266666
2019-03-16 22:00:00+00:00,8.175,4.55,12.5,9.825
2019-03-17 22:00:00+00:00,4.9125,2.75,7.65,13.0875
2019-03-18 22:00:00+00:00,4.6562495,0.1,8.2,13.34375
2019-03-19 22:00:00+00:00,5.4916663,-1.95,11.55,12.508333
2019-03-20 22:00:00+00:00,10.20625,7.7,13.6,7.79375
2019-03-21 22:00:00+00:00,8.739583,3.6,13.45,9.260417
2019-03-22 22:00:00+00:00,10.183333,4.55,16.8,7.8166666
2019-03-23 22:00:00+00:00,6.879167,2.5,10.6,11.120832
2019-03-24 22:00:00+00:00,4.4999995,1.6,7.8,13.5
2019-03-25 22:00:00+00:00,4.80625,1.45,8.25,13.19375
2019-03-26 22:00:00+00:00,6.3520827,2.25,9.45,11.647917
2019-03-27 22:00:00+00:00,8.843749,7.45,10.9,9.156251
2019-03-28 22:00:00+00:00,9.614583,7.25,12.7,8.385417
2019-03-29 22:00:00+00:00,9.520834,2.05,16.85,8.479166
2019-03-30 22:00:00+00:00,7.9499993,2.65,11.95,10.050001
2019-03-31 22:00:00+00:00,4.3770833,-1.5,10.0,13.622917
2019-04-01 22:00:00+00:00,7.5833335,1.8,13.7,10.416666
2019-04-02 22:00:00+00:00,11.758334,6.65,17.95,6.241666
2019-04-03 22:00:00+00:00,13.347917,7.7,19.25,4.6520834
2019-04-04 22:00:00+00:00,12.395832,8.85,16.2,5.604168
2019-04-05 22:00:00+00:00,13.547916,7.5,19.95,4.4520836
2019-04-06 22:00:00+00:00,12.370833,6.5,18.2,5.6291666
2019-04-07 22:00:00+00:00,10.839583,3.85,18.2,7.1604166
2019-04-08 22:00:00+00:00,6.7687497,3.7,11.55,11.231251
2019-04-09 22:00:00+00:00,5.295833,2.25,8.65,12.704166
2019-04-10 22:00:00+00:00,3.5687501,0.6,6.65,14.43125
2019-04-11 22:00:00+00:00,3.1875,1.4,4.95,14.8125
2019-04-12 22:00:00+00:00,3.9916666,1.2,7.2,14.008333
2019-04-13 22:00:00+00:00,5.0625005,1.6,9.4,12.9375
2019-04-14 22:00:00+00:00,7.0062504,1.2,12.5,10.99375
2019-04-15 22:00:00+00:00,8.041667,1.3,14.65,9.958333
2019-04-16 22:00:00+00:00,10.343749,3.35,16.8,7.656251
2019-04-17 22:00:00+00:00,12.968749,6.45,19.9,5.031251
2019-04-18 22:00:00+00:00,14.095836,8.3,20.85,3.9041643
2019-04-19 22:00:00+00:00,12.056249,3.75,20.0,5.9437513
2019-04-20 22:00:00+00:00,13.508334,5.95,20.0,4.491666
2019-04-21 22:00:00+00:00,13.210415,7.05,18.75,4.789585
2019-04-22 22:00:00+00:00,14.416668,10.35,19.6,3.583332
2019-04-23 22:00:00+00:00,16.479168,10.85,22.5,1.5208321
2019-04-24 22:00:00+00:00,18.362501,12.8,24.2,0.0
